name,addr:postcode,operator,website,_region,latitude,longitude
North Oval,,,,Melbourne NE,-37.715711442406274,145.1140036737135
Moorabbin Oval,,,,Melbourne NE,-37.93800892258173,145.0437332166602
Trevor Barker Beach Oval,,,,Melbourne NE,-37.94493168422671,145.0002302758134
Croydon Oval,,,,Melbourne NE,-37.79764281407278,145.28401383506477
Fred Geale Oval,,,,Melbourne NE,-37.8024891047729,145.2833047371308
Como Park,,,,Melbourne NE,-37.83567260584203,145.00414166602218
Hadfield Football Club,,,,Melbourne NE,-37.70537085288629,144.95276041834805
Bennettswood Sports Ground,,,,Melbourne NE,-37.8487274881896,145.11228775915865
Belgrave Recreation Reserve,,,,Melbourne NE,-37.915683213644876,145.34484697117426
Benson Oval,3136,,,Melbourne NE,-37.80842497250584,145.27944671248815
Melbourne Football Club Training Oval,,,,Melbourne NE,-37.826426172333434,144.9874920560409
Waverley Park,,,,Melbourne NE,-37.92560197970486,145.1887344995278
Main Oval,,,,Melbourne NE,-37.834310168358265,144.97776859999837
Cordner Oval,,,,Melbourne NE,-37.84257205976188,144.98294194187875
De Winton Park Oval,,,,Melbourne NE,-37.74670676948601,145.06813395658523
Emerald Primary School Oval,,,,Melbourne NE,-37.932834159580224,145.44195085048057
Oval 1,,,,Melbourne NE,-37.63920682090583,145.02468014119378
Oval 2,,,,Melbourne NE,-37.638425819170024,145.02271838644668
Surrey Park Football Club,,,,Melbourne NE,-37.8274776346566,145.11645920555893
J A Loughnan Oval,,,,Melbourne NE,-37.83136840361731,145.02605533794494
Ringwood Secondary College Oval,,,,Melbourne NE,-37.814921853277,145.2398230277305
Pitcher Park,,,,Melbourne NE,-37.77372328872961,145.02859087278648
South East Oval,,,,Melbourne NE,-37.778077850949984,145.04870384774043
Wadhurst Oval,,,,Melbourne NE,-37.833692963909456,144.9748540294025
Ben Frilay Oval,,,,Melbourne NE,-37.639660344601715,145.18934761309663
TB Garvey Oval,,,,Melbourne NE,-37.689211461259994,145.0671613073502
Russell Lucas Oval,,,,Melbourne NE,-37.82359233360639,145.2329907310435
Montrose Oval,,,,Melbourne NE,-37.81317750149301,145.34435014056078
Shane Warne Oval,,,,Melbourne NE,-37.94697747395194,145.01815270508052
Peter Ferrie Oval,,,,Melbourne NE,-37.84162379976835,145.03873084714965
Mount Waverley Reserve,,,,Melbourne NE,-37.87251021561403,145.1352280423971
W. J. Cox Oval,,,,Melbourne NE,-37.7952072780041,145.0055172033667
H. H. Olney Oval,,,,Melbourne NE,-37.794895370649456,145.007410978177
Sir Arthur Rylah Oval,,,,Melbourne NE,-37.8038878255687,145.0101041356911
Keith Anderson Oval,,,,Melbourne NE,-37.81475795783834,145.06760820843792
Huskisson Recreation Reserve- Sportsfield,,,,Melbourne NE,-37.662122760245175,145.00841828640347
Brighton Beach Oval,,,,Melbourne NE,-37.92854644153782,144.99100976434545
Woodfull-Miller Oval,,,,Melbourne NE,-37.835198241340315,144.99406080672665
Strathewen Oval,,,,Melbourne NE,-37.53411070778862,145.26889963368853
Olympic Park Oval,3000,,,Melbourne NE,-37.82463862869922,144.98126967810228
Hurstbridge High Oval,,,,Melbourne NE,-37.642536634314986,145.18940459124119
Northern Saints Football Club,,,,Melbourne NE,-37.71435050796374,144.97033665310502
Tony Sheehan Reserve,,,,Melbourne NE,-37.72392709107401,145.04302985114927
