name,addr:postcode,operator,website,_region,latitude,longitude,sa2_code,sa2_name,sa3_name,region,irsd_decile,irsd_score
Whitten Oval,,,,Melbourne NW,-37.8001099095726,144.88696274049937,213031348,Footscray,Maribyrnong,Greater Melbourne,4.0,986.6255902
Senior Synthetic Oval,,,,Melbourne NW,-37.909160779613046,144.75359989277976,213051464,Point Cook - East,Wyndham,Greater Melbourne,8.0,1050.505537
Laurimar Football Club,3754,,,Melbourne NE,-37.5831639,145.1289543,209041527,Doreen - North,Whittlesea - Wallan,Greater Melbourne,8.0,1051.04692
Hampton Rovers Football Club,,,,Melbourne NE,-37.933696,145.0111116,208011172,Hampton,Bayside,Greater Melbourne,9.0,1074.188169
Croydon North MLOC Football Club,,Maroondah City Council,https://www.croydonnorthmloc.com.au/,Melbourne NE,-37.7682157,145.2972575,211031265,Croydon Hills - Warranwood,Maroondah,Greater Melbourne,9.0,1084.780875
Ringwod Football Club,3134,,https://www.ringwoodfc.com.au/,Melbourne NE,-37.8236289,145.2320177,211031266,Ringwood,Maroondah,Greater Melbourne,6.0,1014.491436
Doncaster East Football Club,3109,,https://www.defc.com.au/,Melbourne NE,-37.7783683,145.1607013,207021424,Doncaster East - North,Manningham - West,Greater Melbourne,8.0,1058.853944
Ferntree Gully Eagles Junior Football Club,,,,Melbourne NE,-37.8950574,145.2625247,211011448,Ferntree Gully (South) - Upper Ferntree Gully,Knox,Greater Melbourne,7.0,1042.799902
Balwyn Football Club,,,,Melbourne NE,-37.8134139,145.0777632,207011147,Balwyn,Boroondara,Greater Melbourne,8.0,1063.831087
Chirnside Park Football Club,,,,Melbourne NE,-37.7518463,145.3100988,211051275,Chirnside Park,Yarra Ranges,Greater Melbourne,8.0,1059.625125
Coldstream Football Club,,,,Melbourne NE,-37.7298774,145.3795282,211051278,Lilydale - Coldstream,Yarra Ranges,Greater Melbourne,7.0,1034.907813
Croydon Football Club,,,,Melbourne NE,-37.7971719,145.2832654,211031450,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Doncaster Football Club,,,,Melbourne NE,-37.7842091,145.1332355,207021157,Doncaster,Manningham - West,Greater Melbourne,6.0,1027.430129
South Croydon Football Club,,,https://sthcroydonfootballclub.com/,Melbourne NE,-37.8090645,145.2680511,211031450,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Epping Football Club,3076,,https://eppingfc.com.au/,Melbourne NE,-37.6394383,145.0237035,209041433,Epping (Vic.) - West,Whittlesea - Wallan,Greater Melbourne,4.0,990.9834587
Old Camberwell Grammarians Football Club,,,,Melbourne NE,-37.8014429,145.0864143,207011148,Balwyn North,Boroondara,Greater Melbourne,9.0,1075.439172
Bundoora Junior Football Club,,,,Melbourne NE,-37.704333,145.0650438,209011196,Bundoora - East,Banyule,Greater Melbourne,6.0,1023.552441
Alex S Gillon Oval,,,,Melbourne NE,-37.76382715179721,144.95118751787152,206011496,Brunswick - South,Brunswick - Coburg,Greater Melbourne,9.0,1067.952995
Punt Road Oval,,,,Melbourne NE,-37.82213522571409,144.98811738234514,206041119,East Melbourne,Melbourne City,Greater Melbourne,10.0,1107.378731
Frearson Oval,,,,Melbourne NE,-37.91341585435478,145.13778719757335,212051567,Clayton (North) - Notting Hill,Monash,Greater Melbourne,4.0,981.2724921
University Oval,,,,Melbourne NE,-37.79439238027928,144.96171213292706,206041124,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Glenferrie Oval,,,https://en.wikipedia.org/wiki/Glenferrie_Oval,Melbourne NE,-37.820629594102876,145.03289789752893,207011519,Hawthorn - North,Boroondara,Greater Melbourne,10.0,1087.65006
Oval #2,,,,Melbourne NE,-37.866366247383844,145.2481601090768,211011260,Wantirna South,Knox,Greater Melbourne,7.0,1046.404549
Oval #1,,,,Melbourne NE,-37.86498095073669,145.24861980671585,211011260,Wantirna South,Knox,Greater Melbourne,7.0,1046.404549
Bob Saker Oval,,,,Melbourne NE,-37.84241713029938,145.16326586808344,211041269,Forest Hill,Whitehorse - East,Greater Melbourne,6.0,1021.469554
Western Oval,,,,Melbourne NE,-37.778090766295044,144.95306643609817,206041124,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Ransford Oval,,,,Melbourne NE,-37.77858096227391,144.95533922274979,206041124,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
McAlister Oval,,,,Melbourne NE,-37.77878429034786,144.95675235905253,206041124,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Ryder Oval,,,,Melbourne NE,-37.77990105795768,144.95525198040798,206041124,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Southern Reserve,,,,Melbourne NE,-37.93461148789319,145.17723057419474,212051325,Mulgrave,Monash,Greater Melbourne,7.0,1037.505321
Wellington Reserve,,,,Melbourne NE,-37.92751064818517,145.16291179150795,212051325,Mulgrave,Monash,Greater Melbourne,7.0,1037.505321
H. G. Smith Oval,,,,Melbourne NE,-37.78746605159152,144.95582900008625,206041124,Parkville,Melbourne City,Greater Melbourne,8.0,1055.299155
Ian Johnson Oval,,,,Melbourne NE,-37.857333407309554,144.97836267429932,206051514,St Kilda - West,Port Phillip,Greater Melbourne,8.0,1051.681882
Ross Gregory Oval,,,,Melbourne NE,-37.8542668079909,144.9776492828767,206051514,St Kilda - West,Port Phillip,Greater Melbourne,8.0,1051.681882
Lindsay Hassett Oval,,,,Melbourne NE,-37.85286191862342,144.97125508251617,206051128,Albert Park,Port Phillip,Greater Melbourne,9.0,1084.273674
Bayswater Oval,,,,Melbourne NE,-37.83696895271175,145.27004481717177,211011251,Bayswater,Knox,Greater Melbourne,5.0,1003.895227
Scoresby Oval,,,,Melbourne NE,-37.897292380864286,145.23071314186663,211011254,Knoxfield - Scoresby,Knox,Greater Melbourne,8.0,1051.804091
Edmund Herring Memorial Oval,,,,Melbourne NE,-37.832668248005284,144.97551601019148,206041507,Royal Botanic Gardens Victoria,Melbourne City,Greater Melbourne,,
Susan Street Oval,,,,Melbourne NE,-37.72028596556847,145.14218097828123,209031209,Eltham,Nillumbik - Kinglake,Greater Melbourne,10.0,1097.974413
South Oval,,,,Melbourne NE,-37.717354871787066,145.1131100820421,209011202,Montmorency - Briar Hill,Banyule,Greater Melbourne,9.0,1079.754949
North Oval,,,,Melbourne NE,-37.715711442406274,145.1140036737135,209011202,Montmorency - Briar Hill,Banyule,Greater Melbourne,9.0,1079.754949
Moorabbin Oval,,,,Melbourne NE,-37.93800892258173,145.0437332166602,208031191,Moorabbin - Heatherton,Kingston,Greater Melbourne,8.0,1047.778202
Trevor Barker Beach Oval,,,,Melbourne NE,-37.94493168422671,145.0002302758134,208011173,Sandringham - Black Rock,Bayside,Greater Melbourne,10.0,1093.9807
Croydon Oval,,,,Melbourne NE,-37.79764281407278,145.28401383506477,211031450,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Fred Geale Oval,,,,Melbourne NE,-37.8024891047729,145.2833047371308,211031450,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Como Park,,,,Melbourne NE,-37.83567260584203,145.00414166602218,206061515,South Yarra - North,Stonnington - West,Greater Melbourne,10.0,1090.427398
Hadfield Football Club,,,,Melbourne NE,-37.70537085288629,144.95276041834805,210031440,Hadfield,Moreland - North,Greater Melbourne,3.0,970.3678812
Bennettswood Sports Ground,,,,Melbourne NE,-37.8487274881896,145.11228775915865,207031165,Burwood (Vic.),Whitehorse - West,Greater Melbourne,5.0,1009.557361
Belgrave Recreation Reserve,,,,Melbourne NE,-37.915683213644876,145.34484697117426,211051274,Belgrave - Selby,Yarra Ranges,Greater Melbourne,9.0,1072.387176
Benson Oval,3136,,,Melbourne NE,-37.80842497250584,145.27944671248815,211031450,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Melbourne Football Club Training Oval,,,,Melbourne NE,-37.826426172333434,144.9874920560409,206041119,East Melbourne,Melbourne City,Greater Melbourne,10.0,1107.378731
Waverley Park,,,,Melbourne NE,-37.92560197970486,145.1887344995278,212051325,Mulgrave,Monash,Greater Melbourne,7.0,1037.505321
Main Oval,,,,Melbourne NE,-37.834310168358265,144.97776859999837,206041125,South Yarra - West,Melbourne City,Greater Melbourne,10.0,1102.807847
Cordner Oval,,,,Melbourne NE,-37.84257205976188,144.98294194187875,206041125,South Yarra - West,Melbourne City,Greater Melbourne,10.0,1102.807847
De Winton Park Oval,,,,Melbourne NE,-37.74670676948601,145.06813395658523,209011198,Heidelberg - Rosanna,Banyule,Greater Melbourne,9.0,1075.343426
Emerald Primary School Oval,,,,Melbourne NE,-37.932834159580224,145.44195085048057,212011289,Emerald - Cockatoo,Cardinia,Greater Melbourne,9.0,1065.503532
Oval 1,,,,Melbourne NE,-37.63920682090583,145.02468014119378,209041433,Epping (Vic.) - West,Whittlesea - Wallan,Greater Melbourne,4.0,990.9834587
