name,addr:postcode,operator,website,_region,latitude,longitude,dist_train_m,score_train,dist_tram_m,score_tram,dist_bus_m,score_bus,accessibility_score,sa2_name,sa3_name,region,irsd_decile,irsd_score
A T Aanensen Oval,,,,Melbourne NW,-37.83271674917784,144.92970130822837,2479.721675015494,0.0,816.8894191124558,63.851763481257365,145.65290875400294,100.0,44.2,Port Melbourne Industrial,Port Phillip,Greater Melbourne,9.0,1083.802364
Clarke Oval,,,,Melbourne NW,-37.573572396908204,144.72229769162735,756.3018048605569,100.0,21520.033904971446,0.0,193.96559703183786,100.0,70.0,Sunbury - South,Sunbury,Greater Melbourne,6.0,1013.540506
Chirnside Park,,,,Melbourne NW,-37.90476709320304,144.653049716516,842.132755007186,94.73340562410175,24378.366702252573,0.0,251.12497359535638,100.0,67.6,Werribee - South,Wyndham,Greater Melbourne,5.0,1005.075015
Dennis Family Oval,,,,Melbourne NW,-37.899359418247684,144.62429655339702,3119.964509085775,0.0,26291.809167464522,0.0,167.88693689719446,100.0,25.0,Wyndham Vale - South,Wyndham,Greater Melbourne,3.0,958.3089167
MacPherson Park Oval 1,,,,Melbourne NW,-37.63593396075039,144.5689800347633,7490.212261162212,0.0,29665.000372864986,0.0,2581.312682900852,0.0,0.0,Kurunjang - Toolern Vale,Melton - Bacchus Marsh,Greater Melbourne,3.0,947.3532796
Andy Barlow Oval,,,,Melbourne NW,-37.80460243427102,144.87356489492828,833.763390177424,95.779576227822,2107.5758577193837,0.0,234.8996827244711,100.0,68.1,West Footscray - Tottenham,Maribyrnong,Greater Melbourne,6.0,1015.854005
Primary Senior Grassed Oval,,,,Melbourne NW,-37.909288735223676,144.7557389887299,4301.288810705272,0.0,17331.700336141243,0.0,248.7989683990998,100.0,25.0,Point Cook - East,Wyndham,Greater Melbourne,8.0,1050.505537
Secondary Senior Grassed Oval,,,,Melbourne NW,-37.90741193198056,144.75442188468634,4076.052963466226,0.0,17346.32682706813,0.0,226.21248848285208,100.0,25.0,Point Cook - East,Wyndham,Greater Melbourne,8.0,1050.505537
Diggers Rest Oval,,,,Melbourne NW,-37.62086170799933,144.70870295324175,1176.420744546463,52.94740693169211,19082.34796740418,0.0,127.21677718204135,100.0,48.8,Diggers Rest,Sunbury,Greater Melbourne,7.0,1036.580052
Williamstown Superules Football Club,,,https://williamstownsuperules.com.au/,Melbourne NW,-37.827303473570886,144.8327249219468,4051.9628131508525,0.0,6461.8527122010055,0.0,194.63980167818642,100.0,25.0,Altona North,Hobsons Bay,Greater Melbourne,3.0,967.8926399
Spotswood Oval,,,,Melbourne NW,-37.826500226851294,144.88500453520976,401.26994816669554,100.0,3121.9266905061822,0.0,353.3862501730998,100.0,70.0,Newport,Hobsons Bay,Greater Melbourne,9.0,1074.894897
Wootten Oval,,,,Melbourne NW,-37.85907102478143,144.65869309009346,4342.275620918582,0.0,21706.030437554506,0.0,121.25415430264236,100.0,25.0,Tarneit - South,Wyndham,Greater Melbourne,4.0,988.3144267
Wootten Oval,,,,Melbourne NW,-37.85733787825679,144.65830590995768,4237.790507313962,0.0,21671.54690356355,0.0,315.9925111877888,100.0,25.0,Tarneit - South,Wyndham,Greater Melbourne,4.0,988.3144267
Whitten Oval,,,,Melbourne NW,-37.8001099095726,144.88696274049937,222.39305328834456,100.0,950.3436145158531,41.609397580691144,178.36617978541557,100.0,82.5,Footscray,Maribyrnong,Greater Melbourne,4.0,986.6255902
Senior Synthetic Oval,,,,Melbourne NW,-37.909160779613046,144.75359989277976,4256.972166081995,0.0,17494.903939841963,0.0,100.83428887791631,100.0,25.0,Point Cook - East,Wyndham,Greater Melbourne,8.0,1050.505537
Laurimar Football Club,3754,,,Melbourne NE,-37.5831639,145.1289543,2915.0345035286164,0.0,11858.759150025762,0.0,377.3949486758916,100.0,25.0,Doreen - North,Whittlesea - Wallan,Greater Melbourne,8.0,1051.04692
Hampton Rovers Football Club,,,,Melbourne NE,-37.933696,145.0111116,950.7075117018882,81.16156103726398,2221.1695963784396,0.0,23.61662967395497,100.0,61.5,Hampton,Bayside,Greater Melbourne,9.0,1074.188169
Croydon North MLOC Football Club,,Maroondah City Council,https://www.croydonnorthmloc.com.au/,Melbourne NE,-37.7682157,145.2972575,2207.3813036432557,0.0,14093.511833447665,0.0,293.8521598312137,100.0,25.0,Croydon Hills - Warranwood,Maroondah,Greater Melbourne,9.0,1084.780875
Ringwod Football Club,3134,,https://www.ringwoodfc.com.au/,Melbourne NE,-37.8236289,145.2320177,872.4302590847469,90.94621761440663,5705.018433206499,0.0,409.7965688504284,97.5508577873929,65.3,Ringwood,Maroondah,Greater Melbourne,6.0,1014.491436
Doncaster East Football Club,3109,,https://www.defc.com.au/,Melbourne NE,-37.7783683,145.1607013,4690.07413733639,0.0,5547.233788234025,0.0,334.06959378038584,100.0,25.0,Doncaster East - North,Manningham - West,Greater Melbourne,8.0,1058.853944
Ferntree Gully Eagles Junior Football Club,,,,Melbourne NE,-37.8950574,145.2625247,3169.5088082000393,0.0,8274.377263924294,0.0,30.474897875761712,100.0,25.0,Ferntree Gully (South) - Upper Ferntree Gully,Knox,Greater Melbourne,7.0,1042.799902
Balwyn Football Club,,,,Melbourne NE,-37.8134139,145.0777632,1190.3615702736906,51.20480371578867,207.33533513291988,100.0,306.01320717130045,100.0,78.0,Balwyn,Boroondara,Greater Melbourne,8.0,1063.831087
Chirnside Park Football Club,,,,Melbourne NE,-37.7518463,145.3100988,3170.4394925177926,0.0,16177.936717281014,0.0,604.1045726807268,48.97385682981829,12.2,Chirnside Park,Yarra Ranges,Greater Melbourne,8.0,1059.625125
Coldstream Football Club,,,,Melbourne NE,-37.7298774,145.3795282,3845.805186622387,0.0,22350.35374016964,0.0,204.19232445747377,100.0,25.0,Lilydale - Coldstream,Yarra Ranges,Greater Melbourne,7.0,1034.907813
Croydon Football Club,,,,Melbourne NE,-37.7971719,145.2832654,302.14077687803433,100.0,11070.130868976614,0.0,177.47959043626406,100.0,70.0,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Doncaster Football Club,,,,Melbourne NE,-37.7842091,145.1332355,3891.595173810547,0.0,3860.3986028826716,0.0,340.54543386814663,100.0,25.0,Doncaster,Manningham - West,Greater Melbourne,6.0,1027.430129
South Croydon Football Club,,,https://sthcroydonfootballclub.com/,Melbourne NE,-37.8090645,145.2680511,1545.0961942361462,6.862975720481723,9212.122221823418,0.0,246.7355977638383,100.0,28.1,Croydon - East,Maroondah,Greater Melbourne,5.0,1004.441528
Epping Football Club,3076,,https://eppingfc.com.au/,Melbourne NE,-37.6394383,145.0237035,1504.9722307139657,11.87847116075429,5965.998985030195,0.0,209.51691470378373,100.0,30.3,Epping (Vic.) - West,Whittlesea - Wallan,Greater Melbourne,4.0,990.9834587
Old Camberwell Grammarians Football Club,,,,Melbourne NE,-37.8014429,145.0864143,2518.7307507495184,0.0,777.2212729909131,70.46312116818115,246.50276034185038,100.0,46.1,Balwyn North,Boroondara,Greater Melbourne,9.0,1075.439172
